"OTU","Genus","Phylum","p_value","p_adj_BH","control","Gum.disease","in_top_panel"
"RSV_genus83","Kineosporia","Actinobacteria",4.59032040551157e-61,6.99788181882886e-61,-0.225356821019241,-0.266818795002415,FALSE
"RSV_genus85","Quadrisphaera","Actinobacteria",2.59410284860277e-61,4.27185878652163e-61,-0.218827529130672,-0.270704451741644,FALSE
"RSV_genus87","Georgenia","Actinobacteria",1.60627558427591e-61,2.87268876007016e-61,-0.225356821019241,-0.273878869653688,FALSE
"RSV_genus88","Brevibacterium","Actinobacteria",2.11352859319639e-61,3.6034542269161e-61,-0.209054842928297,-0.255762341306724,FALSE
"RSV_genus89","Cellulomonas","Actinobacteria",1.74735707556427e-60,2.27864807826962e-60,-0.222098500835043,-0.264682880187781,FALSE
"RSV_genus91","Tropheryma","Actinobacteria",1.52772583967975e-61,2.87268876007016e-61,-0.22326384854529,-0.273878869653688,FALSE
"RSV_genus92","Demequina","Actinobacteria",1.57924904649902e-61,2.87268876007016e-61,-0.223061663339975,-0.273878869653688,FALSE
"RSV_genus94","Brachybacterium","Actinobacteria",7.66550221784156e-61,1.04186051270663e-60,-0.218844525639202,-0.259039076649729,FALSE
"RSV_genus95","Dermabacter","Actinobacteria",5.52376899964274e-61,8.21330829684938e-61,-0.225356821019241,-0.272441871517586,FALSE
"RSV_genus96","Dermacoccus","Actinobacteria",4.91922316367843e-62,2.87268876007016e-61,-0.220338262771151,-0.273878869653688,FALSE
"RSV_genus97","Kytococcus","Actinobacteria",1.21104622984828e-61,2.87268876007016e-61,-0.224160364435996,-0.273878869653688,FALSE
"RSV_genus98","Mobilicoccus","Actinobacteria",1.60627558427591e-61,2.87268876007016e-61,-0.225356821019241,-0.273878869653688,FALSE
"RSV_genus99","Aquipuribacter","Actinobacteria",1.60627558427591e-61,2.87268876007016e-61,-0.225356821019241,-0.273878869653688,FALSE
"RSV_genus100","Arsenicicoccus","Actinobacteria",4.15793170902312e-62,2.87268876007016e-61,-0.220193059201948,-0.273878869653688,FALSE
"RSV_genus101","Janibacter","Actinobacteria",5.61138142406545e-62,2.87268876007016e-61,-0.207196001312075,-0.263156467742684,FALSE
"RSV_genus102","Knoellia","Actinobacteria",1.59270519694051e-61,2.87268876007016e-61,-0.220326020309444,-0.270541664637364,FALSE
"RSV_genus104","Ornithinibacter","Actinobacteria",1.60627558427591e-61,2.87268876007016e-61,-0.225356821019241,-0.273878869653688,FALSE
"RSV_genus105","Ornithinimicrobium","Actinobacteria",8.44903321424483e-62,2.87268876007016e-61,-0.221051804377381,-0.273878869653688,FALSE
"RSV_genus106","Phycicoccus","Actinobacteria",6.88872801408996e-62,2.87268876007016e-61,-0.224160364435996,-0.273878869653688,FALSE
"RSV_genus107","Serinicoccus","Actinobacteria",1.60627558427591e-61,2.87268876007016e-61,-0.225356821019241,-0.273878869653688,FALSE
"RSV_genus108","Terrabacter","Actinobacteria",9.86135134735842e-62,2.87268876007016e-61,-0.22369377627937,-0.273878869653688,FALSE
"RSV_genus109","Tetrasphaera","Actinobacteria",1.3894097070858e-61,2.87268876007016e-61,-0.224559183297077,-0.273878869653688,FALSE
"RSV_genus110","Agromyces","Actinobacteria",1.2317737911813e-60,1.62830371026021e-60,-0.224430792300924,-0.266832371063288,FALSE
"RSV_genus111","Candidatus Limnoluna","Actinobacteria",6.85152281102333e-62,2.87268876007016e-61,-0.222556168285952,-0.273878869653688,FALSE
"RSV_genus112","Candidatus Rhodoluna","Actinobacteria",1.60627558427591e-61,2.87268876007016e-61,-0.225356821019241,-0.273878869653688,FALSE
"RSV_genus113","Clavibacter","Actinobacteria",2.55839815765016e-61,4.24201756380138e-61,-0.21929585373583,-0.268383460641174,FALSE
"RSV_genus114","Cryobacterium","Actinobacteria",2.58811777479485e-61,4.26928829517441e-61,-0.222497319696125,-0.268030967205265,FALSE
"RSV_genus115","Curtobacterium","Actinobacteria",8.24475708708346e-61,1.11587525792925e-60,-0.222780677857861,-0.264125995583732,FALSE
"RSV_genus116","Frondihabitans","Actinobacteria",6.11756076414521e-61,8.39750517411113e-61,-0.225356821019241,-0.267757028596014,FALSE
"RSV_genus117","Gryllotalpicola","Actinobacteria",1.60627558427591e-61,2.87268876007016e-61,-0.225356821019241,-0.273878869653688,FALSE
"RSV_genus118","Herbiconiux","Actinobacteria",1.60627558427591e-61,2.87268876007016e-61,-0.225356821019241,-0.273878869653688,FALSE
