"OTU","Genus","Phylum","p_value","p_adj_BH","X150.184.","Below.50.","X50.99.","X100.124.","X125.149.","X185.199.","X200..and.Over","in_top_panel"
"RSV_genus579","Incertae Sedis","Firmicutes",1.61738533185187e-49,1.36669060541483e-47,0.000702173995207668,0.000610160444183314,0.000634890303902751,0.000651485388165681,0.000683540412979351,0.00041498413215859,0.000327710267861353,TRUE
"RSV_genus580","Mogibacterium","Firmicutes",0.0792447186392709,0.133923574500368,0.00279446865814697,0.00227783600235017,0.00258049115611005,0.00255160445325444,0.00249273659439528,0.00272938658590308,0.00248495567884932,FALSE
"RSV_genus582","[Eubacterium] brachy group","Firmicutes",2.8739836901653e-12,1.56678465689656e-11,0.00145034392332268,0.00103713285781434,0.00132466979590531,0.00140978854556213,0.0014385205619469,0.0010545687753304,0.000993231939401085,TRUE
"RSV_genus583","[Eubacterium] nodatum group","Firmicutes",0.0411205430052968,0.0763667227241226,0.00220440463099041,0.00180105203172738,0.00181579399552143,0.0019810531408284,0.00192732618436578,0.00198815273568282,0.00180781463098325,FALSE
"RSV_genus589","Blautia","Firmicutes",0.190740451147349,0.275513984990616,5.13487220447284e-06,3.28249776733255e-05,6.73251119641715e-05,2.00469053254438e-05,0.000291956140117994,7.53489383259912e-05,3.32859172365008e-05,FALSE
"RSV_genus591","Butyrivibrio 2","Firmicutes",4.42599006089664e-08,1.49598464058306e-07,0.000198444932907348,0.000164028413631022,0.000149417763275752,0.000182787504142012,0.00018207228761062,0.000216943061674009,0.000220674613298751,FALSE
"RSV_genus592","Catonella","Firmicutes",0.700477354126089,0.773729887890909,0.000826110718849841,0.00077885298707403,0.000791217630198337,0.000762764139644971,0.000740279244837758,0.000699110471365639,0.000726758085828814,FALSE
"RSV_genus600","Howardella","Firmicutes",1.97457056393929e-11,9.26951181404832e-11,2.54095686900959e-05,2.52986098707403e-05,2.66724005118362e-05,2.67849230769231e-05,2.29874705014749e-05,2.12938942731278e-05,1.60278776232021e-05,FALSE
"RSV_genus602","Incertae Sedis","Firmicutes",0.864670981152319,0.902033307498407,3.55053738019169e-05,3.71488014101058e-05,2.13279014715291e-05,5.85924733727811e-06,1.44536622418879e-05,6.19148898678414e-05,9.53223013440226e-06,FALSE
"RSV_genus603","Johnsonella","Firmicutes",3.10350482250068e-05,9.04297094832094e-05,0.000278109980830671,0.000236271076380729,0.000262647403710812,0.000230887763313609,0.000219863883480826,0.000423031740088106,0.000244194481961802,FALSE
"RSV_genus604","Lachnoanaerobaculum","Firmicutes",0.00177710489032358,0.00405852333060386,0.00237079808306709,0.0021891394559342,0.00229391233269354,0.00208964934674556,0.00237224988348083,0.002747886,0.00247501556496109,TRUE
"RSV_genus605","Lachnoclostridium","Firmicutes",0.726812558124465,0.791862554488335,0.000288993861022364,0.000124091702702703,0.000125894104926424,5.47245408284024e-05,9.17372610619469e-05,5.57151894273128e-05,4.82631952369724e-05,FALSE
"RSV_genus609","Lachnospiraceae AC2044 group","Firmicutes",8.12169776260634e-17,6.86283460940236e-16,7.23331054313099e-05,9.78865722679201e-05,9.34407888675624e-05,0.0001137202,7.34083997050147e-05,5.28574669603524e-05,4.03971325159161e-05,FALSE
"RSV_genus625","Moryella","Firmicutes",3.08573750413412e-06,9.48162978543028e-06,1.47333817891374e-05,1.56936568742656e-05,1.53710959692898e-05,1.74955088757396e-05,1.73129749262537e-05,1.62321101321586e-05,8.49572058476774e-06,FALSE
"RSV_genus627","Oribacterium","Firmicutes",4.30308812965479e-13,2.79700728427561e-12,0.00327412531789137,0.00282083067450059,0.00303897734420985,0.00275051847337278,0.00299790218584071,0.00346208498678414,0.00354373815043623,TRUE
"RSV_genus630","Shuttleworthia","Firmicutes",5.50347066202332e-11,2.44759616284721e-10,0.000214313672523962,0.000214412580493537,0.000216867461932182,0.000226729001183432,0.000197779914454277,0.000213031370044053,0.000161630368780948,FALSE
"RSV_genus631","Stomatobaculum","Firmicutes",0.000789923747935882,0.00188024103381921,0.00260886422523962,0.00242272065099883,0.00250062106653871,0.00240240636094674,0.00383400422566372,0.00277676420704846,0.00261086608229192,TRUE
"RSV_genus644","Peptococcus","Firmicutes",7.89022099178314e-24,1.03303546865492e-22,0.000808756920127796,0.000712019903642773,0.000784627511196417,0.000775093614201184,0.000693398702064896,0.000562617969162996,0.000512594941523225,FALSE
"RSV_genus646","Filifactor","Firmicutes",6.27522870895659e-56,1.06051365181366e-53,0.00192984765974441,0.00170668882608696,0.00168137995457454,0.00172400704852071,0.00167979298820059,0.00131000096475771,0.000958842134402264,TRUE
"RSV_genus649","Peptoclostridium","Firmicutes",6.07538401708694e-24,9.33399908079721e-23,0.000326964017571885,0.000378169920094007,0.000336757005758157,0.000320428105325444,0.000295081797935103,0.000283465555066079,0.000242554990096675,FALSE
"RSV_genus650","Peptostreptococcus","Firmicutes",1.48734138422071e-12,8.66761013563105e-12,0.00393751455591054,0.00383954417508813,0.00399443619641714,0.00353187555147929,0.00318360530088496,0.00385317746255507,0.003010355331054,TRUE
"RSV_genus656","Candidatus Soleaferrea","Firmicutes",0.00888754794795742,0.0180963325687326,1.32198514376997e-05,3.31325381903643e-06,5.52868522072937e-06,8.78643195266272e-06,5.13907374631268e-06,2.55506607929515e-07,2.68954067436925e-06,FALSE
"RSV_genus658","Faecalibacterium","Firmicutes",0.388297279051229,0.47899445372013,0.000129266618210863,0.000278897725029377,0.00019218445809341,7.89498970414201e-05,0.000754203324483776,0.000300127022026432,9.30459139353926e-05,FALSE
"RSV_genus659","Fastidiosipila","Firmicutes",0.0481954091436397,0.0875809047879044,2.06790415335463e-06,9.64832902467685e-06,7.99647920665387e-06,1.69785680473373e-06,1.03429085545723e-05,4.38416740088106e-06,2.62550907804763e-06,FALSE
"RSV_genus673","Ruminococcaceae UCG-002","Firmicutes",0.333713945947142,0.427254976250507,0.000124943375399361,0.000155003124559342,0.000157400148432502,2.73529384615385e-05,0.000155261101769912,0.00156080204845815,4.77452539495402e-05,FALSE
"RSV_genus674","Ruminococcaceae UCG-003","Firmicutes",0.17432137640644,0.258423794848143,2.61079009584665e-05,3.43234430082256e-06,2.40424536148432e-05,4.54549940828402e-06,3.26430383480826e-06,4.51660352422908e-06,5.19760198066494e-06,FALSE
"RSV_genus683","Ruminococcaceae UCG-014","Firmicutes",0.407606376680471,0.499170127963765,0.00153845511022364,0.00161581587309048,0.00159389394945617,0.00159668809822485,0.00176069876253687,0.00155637860352423,0.00160884587691582,FALSE
"RSV_genus684","Ruminococcus 1","Firmicutes",0.315967304374825,0.410192798093779,1.97353833865815e-06,0.000116322298472385,3.55149955214331e-05,3.54484615384615e-06,0.000237857927728614,6.22920704845815e-07,1.30491473709031e-05,FALSE
"RSV_genus685","Ruminococcus 2","Firmicutes",0.798493532620676,0.843408793830589,0.000280594907348243,0.000109166824911868,0.000149789699296225,9.02907822485207e-05,5.57043938053097e-05,3.00427004405286e-05,8.4605113888234e-05,FALSE
"RSV_genus687","Subdoligranulum","Firmicutes",0.453786196966922,0.547784766338641,6.025803514377e-06,7.06036310223267e-05,5.77899872040947e-05,6.1631798816568e-06,0.000171965604719764,3.73720088105727e-05,4.83321230841783e-05,FALSE
"RSV_genus689","Pelospora","Firmicutes",1.45125566073443e-09,5.57414106054814e-09,5.12570766773163e-06,1.02790752056404e-05,2.69324888035828e-06,6.39516449704142e-06,1.66742182890855e-06,2.47559911894273e-06,2.84577269511908e-06,FALSE
"RSV_genus698","Bulleidia","Firmicutes",3.83180796067102e-27,1.079292575589e-25,0.000437606773162939,0.000482840283196239,0.000482159044145873,0.000478658177514793,0.000425623028023599,0.000444388066079295,0.000299570419004952,FALSE
"RSV_genus703","Eggerthia","Firmicutes",2.53232108050823e-15,1.94528301184496e-14,0.000138377319488818,0.000163649017626322,0.000142803461292386,0.000117042809467456,0.000143370610619469,0.000102635488986784,7.5551708559302e-05,FALSE
"RSV_genus708","Erysipelotrichaceae UCG-004","Firmicutes",8.28026913319047e-05,0.000225704110243418,3.32058785942492e-06,4.13765452408931e-06,9.76497120921305e-07,1.0044e-06,7.78629793510324e-07,8.81832599118943e-07,7.30668474416411e-07,FALSE
"RSV_genus709","Erysipelotrichaceae UCG-006","Firmicutes",6.94242933316915e-25,1.17327055730559e-23,8.99475511182109e-05,7.89387508813161e-05,8.73648784388995e-05,6.77553704142011e-05,7.56006637168142e-05,6.58559074889868e-05,4.6938419712332e-05,FALSE
"RSV_genus713","Incertae Sedis","Firmicutes",0.564225681925099,0.648821369080844,7.18258977635783e-05,1.59973654524089e-05,1.81325937300064e-05,7.00009112426036e-06,3.23006932153392e-06,7.72397356828194e-06,5.91706885168592e-06,FALSE
"RSV_genus716","Solobacterium","Firmicutes",0.543751465194854,0.633751707709864,0.00314595896805112,0.00316741801527614,0.00295663194049904,0.00296440865680473,0.00293048786430679,0.00279252205286344,0.00295199101013911,FALSE
"RSV_genus722","Phascolarctobacterium","Firmicutes",0.118306831425292,0.188621268970513,7.78958146964856e-05,2.8889285546416e-05,3.88329718490083e-05,1.39488165680473e-05,1.45583584070796e-05,1.66300792951542e-05,1.5127342843669e-05,FALSE
