"OTU","Genus","Phylum","p_value","p_adj_BH","Never.smoked","X1","X2","X3","X4","X5","in_top_panel"
"RSV_genus895","Paracocccus","Proteobacteria",0.872393684790594,0.888159835720544,0.000327174667701863,1.7747375e-05,9.194e-06,8.96923076923077e-07,7.89415555555556e-06,3.84941411451398e-06,FALSE
"RSV_genus960","Porphyrobacter","Proteobacteria",0.591306802116411,0.653142807566493,1.03867755102041e-05,8.24e-06,7.51034e-06,1.10706461538462e-05,1.64088888888889e-06,2.92924234354194e-06,FALSE
"RSV_genus964","Blastomonas","Proteobacteria",0.24802112085821,0.313764531912397,3.50540590062112e-05,1.21795625e-05,0.00011393816,8.15365692307692e-05,1.88668777777778e-05,2.78372023968043e-05,FALSE
"RSV_genus969","Sphingobium","Proteobacteria",0.595459976367316,0.653459324714782,3.95555057675244e-06,1.28978958333333e-05,3.98e-07,0,1.29168888888889e-06,7.11145978695073e-05,FALSE
"RSV_genus971","Sphingomonas","Proteobacteria",0.068283081581423,0.105870098965693,0.000208168428571429,8.45272916666667e-06,0.00014076668,0.000113338923076923,0,0.000227107263648469,FALSE
"RSV_genus990","Sutterella","Proteobacteria",0.198768017173714,0.266601546844109,2.6792298136646e-06,0,0,0,0,2.46484673768309e-05,FALSE
"RSV_genus991","Burkholderia","Proteobacteria",0.63171198405322,0.684354649390988,0.000164494775510204,8.15120833333333e-06,1.672e-06,0.00405719804615385,1.65451777777778e-05,0.00014890664713715,FALSE
"RSV_genus993","Lautropia","Proteobacteria",2.84127487572996e-72,2.40087726999182e-70,0.00154447248181012,0.00120176995833333,0.00133155764,0.0007968174,0.000638476488888889,0.000436520777629827,FALSE
"RSV_genus998","Ralstonia","Proteobacteria",0.304801228121288,0.370585665845307,0.000168183370896185,0.0001394785,0.00013921582,6.55671384615385e-05,0.000102186022222222,0.00112146040346205,FALSE
"RSV_genus1007","Curvibacter","Proteobacteria",0.23677588522843,0.305458966439731,5.80794716060337e-05,5.06765625e-05,8.234722e-05,5.37943384615385e-05,5.01263444444444e-05,5.82295672436751e-05,FALSE
"RSV_genus1017","Ottowia","Proteobacteria",0.151652226671329,0.214846387528633,0.000478809611357587,0.000418054041666667,0.0003077786,8.67188923076923e-05,0.000543812255555555,0.000846893862849533,FALSE
"RSV_genus1018","Pelomonas","Proteobacteria",0.816934413717655,0.847005619130575,0.000201785192102928,3.14375e-06,2.170164e-05,8.87096923076923e-06,1.47755777777778e-05,0.000605226431424767,FALSE
"RSV_genus1032","Xenophilus","Proteobacteria",0.746588308825337,0.798565975895455,5.05885936113576e-06,4.6744375e-06,9.22e-07,2.19543076923077e-06,1.27528222222222e-05,2.11496671105193e-06,FALSE
"RSV_genus1040","Massilia","Proteobacteria",0.464411440259153,0.530307658133763,4.91660780834073e-06,0,1.737758e-05,9.28756461538462e-05,8.77777777777778e-07,1.82109294274301e-05,FALSE
